parent,label,updated,date,confirmed,recovered,deaths,lon,lat,source,source_url,scraper
Australien,New South Wales,1585428816000,2020-03-28T21:53:36+01:00,1617,4,8,151.2093,-33.8688,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
Australien,Northern Territory,1585428816000,2020-03-28T21:53:36+01:00,15,0,0,130.8456,-12.4634,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
Australien,Australian Capital Territory,1585428816000,2020-03-28T21:53:36+01:00,71,2,0,149.0124,-35.4735,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
Australien,Queensland,1585428816000,2020-03-28T21:53:36+01:00,625,8,1,153.0251,-27.4698,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
Australien,South Australia,1585428816000,2020-03-28T21:53:36+01:00,287,6,0,138.6007,-34.9285,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
Australien,Tasmania,1585428816000,2020-03-28T21:53:36+01:00,62,5,0,147.3272,-42.8821,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
Australien,Victoria,1585428816000,2020-03-28T21:53:36+01:00,685,191,3,144.9631,-37.8136,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
Australien,Western Australia,1585428816000,2020-03-28T21:53:36+01:00,278,28,2,115.8605,-31.9505,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
Kanada,Ontario,1585428801000,2020-03-28T21:53:21+01:00,1144,0,18,-85.3232,51.2538,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
Kanada,Nova Scotia,1585428801000,2020-03-28T21:53:21+01:00,110,0,0,-63.7443,44.682,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
